ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [s],Runtime Improvement [s],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,80.00,encoder_forward_kernel1,encoder_forward_kernel1..const..,0.00,0.00,1.97,15.64,26,"    8,    1,    1","  512,    1,    1"
1,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.24%),0.00,1.50  (-24.14%),15.03   (-3.92%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
2,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.43%),0.00,11.11 (+462.51%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
3,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.16%),0.00,35.51 (+1698.35%),83.44 (+433.49%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
4,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.94%),0.00,72.39 (+3565.54%),48.21 (+208.22%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
5,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.70%),0.00,64.61 (+3171.61%),44.47 (+184.29%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
6,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2716.07%),0.00,2.63  (+33.02%),51.53 (+229.43%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
7,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.91%),0.00,86.89 (+4299.85%),58.02 (+270.93%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
8,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.20 (+3556.16%),58.66 (+275.04%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
9,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.78%),0.00,11.10 (+462.09%),49.90 (+219.01%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
10,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.85 (+1107.64%),90.56 (+478.97%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
11,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.07%),0.00,1.48  (-25.10%),15.02   (-3.99%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
12,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15867.12%),0.00,11.11 (+462.66%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
13,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.98%),0.00,37.36 (+1791.84%),70.37 (+349.91%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
14,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.68%),0.00,11.09 (+461.68%),49.91 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
15,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.02%),0.00,23.80 (+1105.26%),90.47 (+478.41%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
16,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.31%),0.00,1.48  (-25.24%),14.95   (-4.40%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
17,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11877.96%),0.00,11.11 (+462.51%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
18,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.16%),0.00,35.49 (+1697.04%),83.55 (+434.14%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
19,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.94%),0.00,72.33 (+3562.82%),48.17 (+208.00%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
20,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.72%),0.00,64.59 (+3170.84%),44.45 (+184.18%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
21,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2734.98%),0.00,2.59  (+31.39%),51.26 (+227.73%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
22,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.66%),0.00,86.89 (+4299.73%),57.83 (+269.73%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
23,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.24 (+3557.87%),58.66 (+275.02%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
24,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.91%),0.00,11.10 (+462.11%),49.90 (+219.02%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
25,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.04%),0.00,23.93 (+1111.93%),90.32 (+477.45%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
26,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.34%),0.00,1.50  (-23.95%),15.01   (-4.05%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
27,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.28%),0.00,11.11 (+462.67%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
28,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.96%),0.00,37.40 (+1793.66%),70.18 (+348.70%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
29,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.61%),0.00,11.09 (+461.68%),49.90 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
30,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.00%),0.00,23.71 (+1100.61%),90.35 (+477.63%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
31,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.22%),0.00,1.48  (-25.10%),15.00   (-4.09%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
32,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.23%),0.00,11.11 (+462.52%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
